Symbol,Quote Asset,Quote Price in USDT,24h Quote Volume,24h Volume in USD
NASBTC,BTC,105222.45,0.0,0.0
NASETH,ETH,3264.66,0.0,0.0
NASBNB,BNB,680.04,0.0,0.0
MFTBTC,BTC,105222.45,0.0,0.0
MFTETH,ETH,3264.66,0.0,0.0
MFTBNB,BNB,680.04,0.0,0.0
DENTBTC,BTC,105222.45,0.0,0.0
DENTETH,ETH,3264.66,31.25492107,102036.6906203862
ARDRBTC,BTC,105222.45,0.14756214,15526.849898043001
ARDRETH,ETH,3264.66,0.0,0.0
ARDRBNB,BNB,680.04,0.0,0.0
NULSUSDT,USDT,1.0,375450.5265,375450.5265
HOTBTC,BTC,105222.45,0.0,0.0
HOTETH,ETH,3264.66,5.40893487,17658.3333126942
VETETH,ETH,3264.66,68.34458797,223121.8425621402
VETUSDT,USDT,1.0,27319386.228084,27319386.228084
VETBNB,BNB,680.04,68.84134673,46814.869430269195
DOCKBTC,BTC,105222.45,0.0,0.0
DOCKETH,ETH,3264.66,0.0,0.0
POLYBTC,BTC,105222.45,0.0,0.0
POLYBNB,BNB,680.04,0.0,0.0
PHXBTC,BTC,105222.45,0.0,0.0
PHXETH,ETH,3264.66,0.0,0.0
PHXBNB,BNB,680.04,0.0,0.0
VETBTC,BTC,105222.45,7.12158981,749351.1277032344
HCBTC,BTC,105222.45,0.0,0.0
HCETH,ETH,3264.66,0.0,0.0
GOBTC,BTC,105222.45,0.0,0.0
GOBNB,BNB,680.04,0.0,0.0
PAXBTC,BTC,105222.45,0.0,0.0
PAXBNB,BNB,680.04,0.0,0.0
PAXUSDT,USDT,1.0,0.0,0.0
PAXETH,ETH,3264.66,0.0,0.0
RVNBTC,BTC,105222.45,1.03170151,108558.1605508995
DCRBTC,BTC,105222.45,0.0,0.0
DCRBNB,BNB,680.04,0.0,0.0
USDCBNB,BNB,680.04,0.0,0.0
MITHBTC,BTC,105222.45,0.0,0.0
MITHBNB,BNB,680.04,0.0,0.0
BCHABCBTC,BTC,105222.45,0.0,0.0
BCHSVBTC,BTC,105222.45,0.0,0.0
BCHABCUSDT,USDT,1.0,0.0,0.0
BCHSVUSDT,USDT,1.0,0.0,0.0
BNBPAX,PAX,0.0,0.0,0.0
BTCPAX,PAX,0.0,0.0,0.0
ETHPAX,PAX,0.0,0.0,0.0
XRPPAX,PAX,0.0,0.0,0.0
EOSPAX,PAX,0.0,0.0,0.0
XLMPAX,PAX,0.0,0.0,0.0
RENBTC,BTC,105222.45,0.0,0.0
RENBNB,BNB,680.04,0.0,0.0
BNBTUSD,TUSD,0.9984,33868.45335,33814.26382464
XRPTUSD,TUSD,0.9984,94447.3242,94296.20848128
EOSTUSD,TUSD,0.9984,0.0,0.0
XLMTUSD,TUSD,0.9984,0.0,0.0
BNBUSDC,USDC,1.0,14713963.1704,14713963.1704
BTCUSDC,USDC,1.0,429166578.743033,429166578.743033
ETHUSDC,USDC,1.0,168806226.859514,168806226.859514
XRPUSDC,USDC,1.0,59101471.5877,59101471.5877
XLMUSDC,USDC,1.0,2312157.0856,2312157.0856
EOSUSDC,USDC,1.0,327364.38325,327364.38325
USDCUSDT,USDT,1.0,1127692205.0013,1127692205.0013
ADATUSD,TUSD,0.9984,0.0,0.0
TRXTUSD,TUSD,0.9984,0.0,0.0
NEOTUSD,TUSD,0.9984,0.0,0.0
TRXXRP,XRP,3.1029,242360.30477,752019.7896708329
XZCXRP,XRP,3.1029,0.0,0.0
PAXTUSD,TUSD,0.9984,0.0,0.0
USDCTUSD,TUSD,0.9984,0.0,0.0
USDCPAX,PAX,0.0,0.0,0.0
LINKUSDT,USDT,1.0,108610828.5032,108610828.5032
LINKTUSD,TUSD,0.9984,0.0,0.0
LINKPAX,PAX,0.0,0.0,0.0
LINKUSDC,USDC,1.0,8853563.6679,8853563.6679
WAVESUSDT,USDT,1.0,0.0,0.0
WAVESTUSD,TUSD,0.9984,0.0,0.0
WAVESPAX,PAX,0.0,0.0,0.0
WAVESUSDC,USDC,1.0,0.0,0.0
BCHABCTUSD,TUSD,0.9984,0.0,0.0
BCHABCPAX,PAX,0.0,0.0,0.0
BCHABCUSDC,USDC,1.0,0.0,0.0
BCHSVTUSD,TUSD,0.9984,0.0,0.0
BCHSVPAX,PAX,0.0,0.0,0.0
BCHSVUSDC,USDC,1.0,0.0,0.0
LTCTUSD,TUSD,0.9984,0.0,0.0
LTCPAX,PAX,0.0,0.0,0.0
LTCUSDC,USDC,1.0,17367642.06176,17367642.06176
TRXPAX,PAX,0.0,0.0,0.0
TRXUSDC,USDC,1.0,1349945.13343,1349945.13343
BTTBTC,BTC,105222.45,0.0,0.0
BTTBNB,BNB,680.04,0.0,0.0
BTTUSDT,USDT,1.0,0.0,0.0
BNBUSDS,USDS,0.0,0.0,0.0
BTCUSDS,USDS,0.0,0.0,0.0
USDSUSDT,USDT,1.0,0.0,0.0
USDSPAX,PAX,0.0,0.0,0.0
USDSTUSD,TUSD,0.9984,0.0,0.0
USDSUSDC,USDC,1.0,0.0,0.0
BTTPAX,PAX,0.0,0.0,0.0
BTTTUSD,TUSD,0.9984,0.0,0.0
BTTUSDC,USDC,1.0,0.0,0.0
ONGBNB,BNB,680.04,0.0,0.0
ONGBTC,BTC,105222.45,0.11900001,12521.4726022245
ONGUSDT,USDT,1.0,516579.6891,516579.6891
HOTBNB,BNB,680.04,0.0,0.0
HOTUSDT,USDT,1.0,3491652.945644,3491652.945644
ZILUSDT,USDT,1.0,3503866.944545,3503866.944545
ZRXBNB,BNB,680.04,0.0,0.0
ZRXUSDT,USDT,1.0,1885874.5338,1885874.5338
FETBNB,BNB,680.04,377.6228186,256798.621560744
