Symbol,Quote Asset,Quote Price in USDT,24h Quote Volume,24h Volume in USD
XECUSDT,USDT,1,1243973.566,1243973.57
IDUSDT,USDT,1,1233638.507,1233638.51
SLPUSDT,USDT,1,1226962.436,1226962.44
EIGENFDUSD,FDUSD,0.9994,1225621.023,1224885.65
LTCEUR,EUR,1.0433,1173325.806,1224130.813420666
EDUUSDT,USDT,1,1223771.668,1223771.67
LDOUSDC,USDC,1,1220924.919,1220924.92
EGLDBTC,BTC,105222.45,11.52222965,1212397.2332356425
LEVERTRY,TRY,0.027948575,43286324.71,1209791.0762062604
DOTFDUSD,FDUSD,0.9994,1205542.755,1204819.43
UMAUSDT,USDT,1,1200009.637,1200009.64
GMXUSDT,USDT,1,1196709.606,1196709.61
ENABTC,BTC,105222.45,11.36397726,1195745.529041487
FETFDUSD,FDUSD,0.9994,1191610.4,1190895.43
GUSDT,USDT,1,1186132.877,1186132.88
OSMOUSDT,USDT,1,1182426.342,1182426.34
NTRNUSDT,USDT,1,1175816.243,1175816.24
MDTUSDT,USDT,1,1165019.198,1165019.20
BATUSDT,USDT,1,1164163.768,1164163.77
SEIUSDC,USDC,1,1145302.22,1145302.22
QTUMUSDT,USDT,1,1142475.683,1142475.68
WLDFDUSD,FDUSD,0.9994,1132091.173,1131411.92
AUDIOUSDT,USDT,1,1127361.117,1127361.12
HBARTRY,TRY,0.027948575,40099170.27,1120714.6526551144
SXPUSDT,USDT,1,1119550.031,1119550.03
ARKMTRY,TRY,0.027948575,39958944.27,1116795.5358859696
IOUSDC,USDC,1,1116176.909,1116176.91
TIATRY,TRY,0.027948575,39865066.03,1114171.7728339853
1000CATTRY,TRY,0.027948575,39828789.75,1113157.9023784236
STRY,TRY,0.027948575,39745026.36,1110816.8349916153
SLFUSDT,USDT,1,1110601.659,1110601.66
PENDLEUSDC,USDC,1,1100189.712,1100189.71
SUNUSDT,USDT,1,1097312.816,1097312.82
LDOFDUSD,FDUSD,0.9994,1095034.828,1094377.8068833319
COSUSDT,USDT,1,1091783.277,1091783.28
BICOUSDT,USDT,1,1091309.489,1091309.49
DOTBTC,BTC,105222.45,10.35521188,1089600.764282706
STORJUSDT,USDT,1,1082597.731,1082597.73
XRPBRL,BRL,0.17035775127768313,6321659.09,1076943.6269165247
BCHUSDC,USDC,1,1060023.164,1060023.16
BTCTUSD,TUSD,0.9984,1060603.15,1058906.1845042305
POLUSDC,USDC,1,1056950.075,1056950.07
ADATRY,TRY,0.027948575,37588435.56,1050543.1960871995
GALAUSDC,USDC,1,1049763.873,1049763.87
GASUSDT,USDT,1,1035719.575,1035719.57
WAXPUSDT,USDT,1,1028049.338,1028049.34
AMPTRY,TRY,0.027948575,36442108,1018504.9749552822
NEARUSDC,USDC,1,1015122.852,1015122.85
XLMETH,ETH,3264.66,310.2784248,1012953.5622749212
RUNEBTC,BTC,105222.45,9.55203492,1005088.516767954
BNXUSDT,USDT,1,1003840.641,1003840.64
